,nso,aspect,polarities
2,"Ga se dijo tše kgolo, e sego lefaufau le legolo, le ge e le gore ga se la swanela go ba le dijo tše kgolo kudu!",Botafogo,positive
6,"Ga se dijo tše kgolo, e sego lefaufau le legolo, eupša go na le dijo tše kgolo kudu!",Leta Lefke,positive
10,"Ga se dijo tše kgolo, e sego lefaufau le legolo, eupša go fapana le dilo ka moka tšeo di bego di le gona e be e le tše kgolo kudu!",beker,positive
14,"Dijo tše kgolo kudu, e sego lefaufau le legolo, e sego dijo tše kgolo kudu, eupša di be di le kaone kudu!",Le dijo,positive
18,"Dijo ga di a swanela go ba le maemo a godimo, tirelo e ela šedi, eupša maemo a godimo ga a fase.",Tirelo Tirelo,positive
22,"Dijo ga di a lekana, tirelo ga e a swanela go ela šedi, eupša maemo a godimo ga a fase.",Botafogo,positive
26,"Dijo ga di na mohola, eupša ga di na mohola.",Le dijo,positive
37,"Go be go se na tšhelete ye ntši, e be e se ka fase ga palogare ya ditshenyegelo, eupša ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",Tirelo Tirelo,negative
41,"Go be go na le tšhelete ye ntši kudu, dijo di be di le ka fase ga palogare ya ditshenyegelo, eupša ka ntle ga fao go na le seela se se hlagelago moreki yo mongwe le yo mongwe yo a tlogago lefelong leo.",Le dijo,negative
50,"Le ge go le bjalo, ba be ba na le bokgoni bjo bobotse bja go dira dilo tše dingwe tša go swana le tša kgale (eupša ba be ba goboša ditheko), bašomedi ba swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: Aowa, a ka se swarege... - mošemane, ba ka se ke ba khupetša melao ya motho yo mongwe.",ditheko,negative
54,"Ba be ba na le dilo tše mmalwa tša boitlhamedi, ba be ba le bohlale go boloka tše dingwe tša bao ba di ratago kudu (eupša ba hlatloša ditheko ka botlalo), bašomi ba na le botho ka nako yeo, eupša ke swanetše go dumelelana le motho yo a ngwadilego ka mantšu a gagwe ao a ba ratago: Aowa, a ka se lebale... , mošemane, ba ka se khupetše melao ya motho yo mongwe le yo mongwe.",New Go Menu,positive
90,"Go tloga mathomong, re ile ra kopana le bašomi bao ba se nago lešoko, eupša go be go na le boemakepe bjo bo nepagetšego bja ka Chelsea Piers bo ile bja dira gore go be bonolo gore re kgone go ya sekepeng.",Lego Parking,positive
94,"Go tloga mathomong, re ile ra kopana le badiratšempe, eupša go be go na le boemakepe bjo bo sa lokago bja go ya sekepeng sa Chelsea Piers bo ile bja dira gore re ye go ya sekepeng.",Lego Memebers,positive
104,"Ka nako ye nngwe le ye nngwe, ke tla dula ke eya go tšhila ya sedora ya skode, eupša ka nako ye nngwe le ye nngwe ke tla e hwetša ka theko ye e sa lokago.",Les Šaša,positive
108,"Ka nako ye nngwe le ye nngwe ke ya go dula ka ntlong ya go ya go ile, ke tla ya go tšhila ya sedora ya seduki, eupša e sego ka theko ye e kgahlišago.",bei bei,positive
112,"Ka nako ye nngwe le ye nngwe ke ya go dula ka ntlong ya ka ya go ya go ile, ke tla ya go tšhila ya seduma ye e hlwekilego, e sego ka theko ye e sa kgahlišego.",Go Go Sushi,positive
130,"Dijo e be e le tše mpe, tirelo e be e le ya lebelo, eupša theko ya yona ga e kwagale gabotse.",Tirelo Tirelo,positive
134,"Dijo di be di le mpe, tirelo ga se ya itlhaganela, eupša theko ya maleba e be e le ya maleba.",bei bei,positive
138,"Dijo di be di le botse, tirelo ga se ya itlhaganela, eupša theko yeo e sa kwagalego.",Le dijo,positive
142,"Le ge go le bjalo, go be go se na le ditšhupetšo tše di kgahlišago, eupša le ge go le bjalo, go be go se na le ditšhupetšo tše di kgahlišago.",Go Go Fresh Veggies,positive
146,"Le ge go le bjalo, go be go na le ditšhupetšo tše di kgahlišago kudu, e sego tše ntši.",Go Diego Go Primavera,positive
163,Ke ka lebaka la gore go be go na le motho yo a bego a na le tšhitišo le baapei bao ba bego ba na le metsotso ye 20 ba re nyakago gore re nwe meetse.,Molaodi,negative
167,"Ke ka lebaka la gore go be go se na motho yo a bego a na le tšhitišo, yo a bego a na le 20 a re nyakago go nwa meetse a mantši.",Go Go Bartender,negative
171,"Ke ka lebaka la gore go be go na le motho yo a sa ratego le yo mongwe yo a bego a na le mengwaga ye 20 ya go nwa, eupša o re laela gore re se ke ra thoma go nwa.",Leta Leta,negative
175,E be e le ka lebaka la go se be le motho yo a bego a na le bokgoni bjo bobotse bjo bobotse bja go nwa meetse a 20 gomme a re botša gore re tla nwa meetse a mantši.,Dino Dino,neutral
179,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, go be go se na motho yo a bego a na le mathata a mantši, eupša o be a šoma moo a ilego a dira gore go be le boitemogelo bjo bokaone bja go ja.",Dino Dino,negative
183,"Le ge go le bjalo, le ge go le bjalo, o be o se ke wa ba le bothata bjo bobotse, eupša o be o dira gore go be go na le batho bao ba bego ba šoma moo ba ile ba dira gore go be le boitemogelo bjo kaone kudu bja go ja.",Lego Dining,negative
187,"O se ke wa tshwenyega - dino di be di le bose, eupša e be e le batho bao ba bego ba šoma moo ba ile ba dira gore go be go na le boitemogelo bjo kaone kudu bja go ja.",Les Gens,negative
226,"Le ge go le bjalo, go na le selo se se botse kudu ka ga go ba ka ntle, mo nageng ye kgolo yeo e išago lefelong le le bohlokwa; le ge a sa nwe meetse a mantši.",Go Go Outdoors,positive
230,"Le ge go le bjalo, go na le selo se se golo kudu ka ge e se ka ntle, ka dinageng tše kgolo, go ipshina ka dino tše di tlwaelegilego tšeo di dirago gore go be le mohola wa go ya lefelong le.",Go Go Dino Casual,positive
254,"Go be go se na selo seo se bego se dira gore ke kgone go ja, go be go se na selo seo se bego se le bohlokwa kudu, eupša go be go na le se se kgahlišago kudu seo se bego se dira gore ke se kgone go dira gore ke se ke ka se tšhoge.",Go Go Pop Duo,negative
258,"Le ge go le bjalo, go be go se na dijo tšeo di bego di le gona, go be go se na selo seo se bego se le bohlokwa kudu, eupša go be go na le dipukwana tša ka tše di bego di le godimo kudu, eupša go be go na le ditšhitišo tša ka.",Lighting Lena,negative
264,"Go be go na le dijo tše di kgahlišago kudu, go be go na le dilo tše di kgahlišago kudukudu, eupša go be go na le tšhego ya ka ye kgolo go feta yeo e bego e bonala e ka ba ya go ripa.",Le dijo,negative
286,"Tšhego ga e a swanela go tšhoša, eupša tšidi e bose ebile e le bose.",Go Go Crust,positive
290,Tšhego ke ye botse eupša e na le monkgo ebile ga e na bose.,Saša Saša,positive
298,"Le ge go le bjalo, go na le mehuta ye mebotse ya dijo (ga ke a swanela go ba le boikgethelo bjo bogolo bja go ba le dijo tša go apea).",Botafogo,positive
302,Go ja dijo go bohlokwa kudu (ga ke a swanela go ba le boikgethelo bjo bogolo) eupša ga se selo se se kgahlišago kudu.,Kgetho ya dijo,positive
323,"Dijo di a makatša, eupša di a kgahliša.",Go Go Décor,positive
327,"Dijo di a makatša, eupša ga se tša loka.",Le dijo,positive
331,"Le ge go le bjalo, le ge go le bjalo, le ge go le bjalo, ke paese ya dijo (e sego ya dijo tše di nyatšago), eupša moreki, ka lehlakoreng le lengwe, ke banamedi ba makhutšo, ba ba nago le lešata le legolo (se se ka ba hlalošetša maitshwaro a mabotse go tšwa go bašomi) go rwala kotšhene ya AC/ DC goba papadi ya Knicks.",Cliente Moka,negative
335,"Le ge go le bjalo, le ge go le bjalo, ke pašene goba tše pedi ka godimo ga boleng bja dijo (di-bartenders) le morekiši, ka lehlakoreng le le lengwe, ga di rekišwe goba banamedi ba ba nago le molomo o mogolo (se se se ka hlalosa maikutlo a mabotse go tšwa go bašomi) go rwala kotšhene ya AC/DC goba papadi ya Knicks.",ba ba bartenders,negative
341,"Le ge go le bjalo, le ge go le bjalo, ke paese ya dijo (e sego dijo tše di nyatšago), eupša morekiši, ka lehlakoreng le le lengwe, ga se ba šuthe, ga se ba šute, ga ba kgone go bolela ka maitshwaro a makaone go tšwa go bašomi) go rwala khonferefere goba papadi ya di-knicks.",Tirelo Tirelo,negative
345,"Le ge go le bjalo, ke pašene goba tše pedi ka godimo ga boleng bja dijo (e sego baapei ba go se loke), eupša moreki, ka lehlakoreng le le lengwe, ga se ba šute, ga ba na ditšhika, ga ba kgone go hlaloša maitshwaro a makaone go tšwa go bašomi) go rwala kotšhene ya AC / DC goba papadi ya Knicks.",Mothwalwa,negative
355,"Ke be ke na le mošomo wa ka wa go ba le senthara ya ka ya go ja dijo tša mesong gomme ke ile ka ya go se be le lefelo le lennyane la go ba le di-tacos, efela Hibiscus lemonade.",lego ninjago lemonade,positive
359,"Ke be ke le mo tseleng, ke be ke le mo tseleng ya ka ya go ja dijo tša ka tša go ja, gomme ke be ke sepela ka gare ga ntlo ya ka ya lešoka le lennyane le lennyane le le se nago le kgogo, efela Hibiscus lemonade.",Felo,positive
363,"Ke be ke na le mošomo wa ka wa go sepela ka gare ga tšhireletšego ya go ja dijo tša ka tša go ja, eupša ke be ke se na selo se sennyane se se nago le di-tacoscus le Hibiscus lemonade.",Tacos A Go Go,positive
369,"Di-innovations di na le kgonthišetšo, go tšwa go tšie ye e raraganego ya Carinthia cheese ravioli e nago le di-mushroom tša naga go ya go go la caviar-topped sturgeon, ka botse go swana le tšhese ye tala ye tala ya spinach-vodka.",Go Go Green-Vodka Sauce,positive
373,"Di-innovations di kgonthišeditšwe fela, go tšwa go ye bonolo ya tšhetšhe ya Carinthia ka di-mushroom tša naga go ya go go la caviar-topped sturgeon, gabotse e bapetšwe le tšheke ya go swana le spinach-vodka e tala.",Go go go gadget cheesecake with wild boots,positive
391,"Mothwalwa wa gago o na le botho bjo bobotse, ge e le gore ga o na maatla goba o na le botho bjo bobotse . . . . Milego weekendu no ótima semana.",Leta Mošomedi,positive
395,"Mothwalwa wa gago o na le maatla kudu, ge e le gore ga o na maatla goba o na le maatla, Go Diego Go 20000 weekend",Y yo le dije,positive
402,"Dijo di be di le bose kudu, eupša tirelo e be e le bose kudu!",Tirelo Tirelo,negative
406,"Dijo di be di le bose kudu, eupša go be go le bose kudu!",Le dijo,positive
451,Dibjana tše di kgahlišago tša go swana le salate ya kgoši crab e nago le seenywa sa go rata le fettuccine le dijo tša go apešwa ka gare ga tšheke ya rosemary-orange ke dielemente tšeo di sa solofego go menu ya bistro ka tsela ye nngwe yeo e ka bego e ka bonagalago.,Pokemon Go Menu,neutral
